,input_compound,target_compound,section,test_mase,train_mase
183,naoh,QH2,2,0.2319543214435229,0.11184633282585789
184,naoh,R5P,2,0.516977277342495,0.133097516875325
185,naoh,RU5P,2,0.522097408060023,0.13423317499477194
186,naoh,S7P,2,0.45083405244674934,0.11894793721137514
187,naoh,SUC,2,0.6802732122520206,0.4118666723629276
188,naoh,SUCCOA,2,0.3619603666105437,0.20840065708909564
189,naoh,X5P,2,0.4926544288439128,0.1267595505899474
190,naoh,ei,2,0.2510589859812199,0.1937321613460316
191,naoh,eiP,2,0.2510589859804494,0.19373216134723953
192,naoh,eiia,2,0.2712796130992701,0.21488495739363328
193,naoh,eiiaP,2,0.2712796131292056,0.21488495739250793
194,naoh,eiicb,2,0.2712839601211497,0.21491731800388475
195,naoh,eiicbP,2,0.2712839641309436,0.2149173179946199
196,naoh,hpr,2,0.27121050406726743,0.21435003688001586
197,naoh,hprP,2,0.2712105041541559,0.21435003688018212
198,naoh,icd,2,0.46189951825613146,0.45935931404422237
199,naoh,icdP,2,0.4618995182566939,0.45935931404440167
200,naoh,tal,2,0.2682075460690523,0.11343841924496811
201,naoh,talC3,2,0.26820754606938535,0.11343841924483676
202,naoh,tkt,2,0.4185913421389855,0.12212146246356904
203,naoh,tktC2,2,0.4185913421371527,0.12212146246360342
204,naoh,ADP,2,0.43634341188568315,0.3473037660368021
205,naoh,AMP,2,0.19238141754047455,0.11644633327194427
206,naoh,ATP,2,0.43656445136845906,0.3825686983030013
207,naoh,CAMP,2,0.25784627923073755,0.09945090839556547
208,naoh,P,2,0.44303029686118983,0.32406475041606975
209,naoh,ASP,2,0.2280241990404338,0.10745910016881727
210,naoh,FAD,2,0.21083558282959608,0.09433467846982092
211,naoh,FADH2,2,0.21083558282984144,0.09433467846984102
212,naoh,ACEx,2,0.4608651305563072,0.25962429455701064
213,naoh,GLCx,2,0.8686845511006377,1.0
214,naoh,ACEx_0,2,1.2759505463744814,0.16323764872100793
215,naoh,Hout,2,0.46631544284513493,0.4126317980596628
216,naoh,GLCp,2,0.7010647821734565,1.0
217,naoh,Pp,2,0.4658594483018273,0.39125704827156865
218,naoh,ACEp,2,1.6416953213601015,0.16213814353309458
219,naoh,G3P,2,0.5400667634061529,0.43708412170184296
220,naoh,GLY,2,0.2603100481319478,0.12693417406476376
221,naoh,MCOA,2,0.4458576308711348,0.10633087053034013
222,naoh,LGLU,2,0.3415999372055519,0.1001759388099709
223,naoh,BA,2,0.401296827058605,0.09959779479114084
224,naoh,MCOAp,2,0.4861363132662044,0.09443905309186532
225,naoh,MCOAx,2,0.3779467140359405,0.11727642030961477
226,naoh,BAp,2,0.3977246766618464,0.10117481126199929
227,naoh,BAx,2,0.3467443877283878,0.11719835418387921
228,naoh,GLYp,2,0.6512394178994065,0.19169355355208179
229,naoh,GLYx,2,0.3605727219373455,0.11273402797522908
230,naoh,DAH,2,0.33791297588955166,0.09924600664660203
231,cacl2,ACCOA,2,0.5452413356157046,0.30959105528555114
232,cacl2,ACO,2,0.5652968225974294,0.33906458492928343
233,cacl2,ACP,2,1.2493473993724251,0.8893218426290822
234,cacl2,AKG,2,0.1410907520084198,0.12012670339388978
235,cacl2,BPG,2,0.562800832079513,0.3824006488043667
236,cacl2,CIT,2,0.5729960621715472,0.32942632796405014
237,cacl2,DAP,2,0.5117960363188837,0.29145695305102615
238,cacl2,E4P,2,0.4548396755822889,0.2348957650465238
239,cacl2,F6P,2,0.2576243110820521,0.18001091050881518
240,cacl2,FDP,2,0.581186448667389,0.34065379097853055
241,cacl2,FUM,2,0.2088669742300332,0.1637578553844692
242,cacl2,G6P,2,0.19137050785053863,0.12506864585424837
243,cacl2,GAP,2,0.5379046154807929,0.3092569627818766
244,cacl2,GL6P,2,0.2447563917523223,0.17803804562671385
245,cacl2,GLX,2,0.5242803280279925,0.2998640832374703
246,cacl2,ICIT,2,0.5627781848691644,0.3565149515907705
247,cacl2,KDPG,2,0.8506357596480005,0.4974327651373891
248,cacl2,MAL,2,0.22447556328388377,0.18567212057803403
249,cacl2,NAD,2,0.8074223005612132,0.6116904328273167
250,cacl2,NADH,2,0.8074223005612041,0.6116904328273028
251,cacl2,NADP,2,0.5934222235699809,0.5508381204542036
252,cacl2,NADPH,2,0.323841432363342,0.11689167455532139
253,cacl2,OAA,2,0.49869689185067906,0.3595636335708307
254,cacl2,PEP,2,0.48294897771892326,0.25102379851555034
255,cacl2,PGA2,2,0.345967653513707,0.1619589703461401
256,cacl2,PGA3,2,0.31706941674612826,0.16972923641703083
257,cacl2,PGN,2,0.2141029353376001,0.13148870970710544
258,cacl2,PYR,2,0.44549451318966743,0.23569849457991132
259,cacl2,Q,2,0.49474760936057977,0.3633731134275473
260,cacl2,QH2,2,0.49474760936061224,0.3633731134275493
261,cacl2,R5P,2,0.51327671620658,0.18698942620616618
262,cacl2,RU5P,2,0.25989097332128885,0.1254156007534929
263,cacl2,S7P,2,0.5585819503673404,0.31061351609203364
264,cacl2,SUC,2,1.2243838562653866,0.8834059903213874
265,cacl2,SUCCOA,2,0.47200654480639254,0.2905015830563305
266,cacl2,X5P,2,0.47041986002405156,0.21167904676005553
267,cacl2,ei,2,0.508622727399601,0.3003346762766132
268,cacl2,eiP,2,0.5086227273996246,0.300334676276704
269,cacl2,eiia,2,0.5345481502170351,0.3304378200490662
270,cacl2,eiiaP,2,0.5345481502146288,0.33043782004943856
271,cacl2,eiicb,2,0.5346082786744626,0.33051567206974464
272,cacl2,eiicbP,2,0.5346082789408743,0.3305156720813276
273,cacl2,hpr,2,0.5328770238153451,0.32913458564263126
274,cacl2,hprP,2,0.5328770238197366,0.3291345856469632
275,cacl2,icd,2,0.24038785668392504,0.15868591330355347
276,cacl2,icdP,2,0.2403878566852977,0.1586859133040506
277,cacl2,tal,2,0.36929748743909946,0.23768934266929384
278,cacl2,talC3,2,0.3692974874389778,0.23768934266927574
279,cacl2,tkt,2,0.5450085137246089,0.3037270154621317
280,cacl2,tktC2,2,0.5450085137253515,0.30372701546216896
281,cacl2,ADP,2,0.4540790688699596,0.354662748997896
282,cacl2,AMP,2,0.20291880792462155,0.16687463168415054
283,cacl2,ATP,2,0.36467617252023776,0.2911108560864509
284,cacl2,CAMP,2,0.6567652024988759,0.323747237029211
285,cacl2,P,2,0.8679693368734207,0.616906976344454
286,cacl2,ASP,2,0.5063184293470533,0.3680895103044236
287,cacl2,FAD,2,0.30857859185575304,0.19821608197659554
288,cacl2,FADH2,2,0.30857859185576797,0.1982160819765977
289,cacl2,ACEx,2,0.3725651886349388,0.2955245752597904
290,cacl2,GLCx,2,0.930882864811273,1.0
291,cacl2,ACEx_0,2,1.357081924955483,0.1519888757150397
292,cacl2,Hout,2,0.6388450668818604,0.496213918106641
293,cacl2,GLCp,2,1.3527972851410583,1.0
294,cacl2,Pp,2,0.620347373417797,0.46657743352581127
295,cacl2,ACEp,2,0.9485104823797067,0.23377210020544817
296,cacl2,G3P,2,0.14992802738086033,0.1241338817778298
297,cacl2,GLY,2,0.38115144113482036,0.1835534971684138
298,cacl2,MCOA,2,0.3900974105091871,0.14611437934438015
299,cacl2,LGLU,2,0.2674924016539634,0.15670049487171506
300,cacl2,BA,2,0.296081083596943,0.21488551681827114
301,cacl2,MCOAp,2,0.34832706462790874,0.12969332543373244
302,cacl2,MCOAx,2,0.3699162549696872,0.11224483079087616
303,cacl2,BAp,2,0.3208600083650337,0.16203377696399338
304,cacl2,BAx,2,0.3921331836235825,0.11137797153083472
305,cacl2,GLYp,2,0.547502185192503,0.19669600833221815
306,cacl2,GLYx,2,0.35031089519820546,0.11153487514330832
307,cacl2,DAH,2,0.5826610155656177,0.2370180284071912
