input_compound,trace_label,dt,section,mutual_info
NaOH,141.03_0.546,-295,0,0.7187702854066096
NaOH,141.03_0.573,-295,0,0.4798117984133352
NaOH,141.03_0.594,-295,0,0.20216959247323807
NaOH,146.02_0.551,-295,0,0.5772399589373531
NaOH,146.02_0.578,-295,0,0.43372876379702596
NaOH,147.03_0.549,-295,0,0.7318243534794897
NaOH,147.03_0.576,-295,0,0.513248352194787
NaOH,147.03_0.578,-295,0,0.48547938984930195
NaOH,153.03_0.553,-295,0,0.6440564121148076
NaOH,153.03_0.58,-295,0,0.2518975030115973
NaOH,154.04_0.55,-295,0,0.5675520259826112
NaOH,154.04_0.581,-295,0,0.3306544377775218
NaOH,155.03_0.556,-295,0,0.6050957553198408
NaOH,155.03_0.564,-295,0,0.5905492137180519
NaOH,155.03_0.585,-295,0,0.49626220410171085
NaOH,156.04_0.555,-295,0,0.5795846881731603
NaOH,156.04_0.584,-295,0,0.4500606063104824
NaOH,156.04_0.604,-295,0,0.19761372566723656
NaOH,161.03_0.56,-295,0,0.6319205383516509
NaOH,161.03_0.567,-295,0,0.5148272049795821
NaOH,161.03_0.589,-295,0,0.43864687118017587
NaOH,162.04_0.56,-295,0,0.5512262154184904
NaOH,162.04_0.586,-295,0,0.4582556399155506
NaOH,162.04_0.605,-295,0,0.21911058942647754
NaOH,168.04_0.563,-295,0,0.7312430217830896
NaOH,168.04_0.591,-295,0,0.5245317155295286
NaOH,168.04_0.596,-295,0,0.4229749854844549
NaOH,170.03_0.568,-295,0,0.3677044776983549
NaOH,170.03_0.595,-295,0,0.3100417744526247
NaOH,176.03_0.572,-295,0,0.6348257180136363
NaOH,176.03_0.578,-295,0,0.5906284866305826
